검색조건 - 분류항목 : 보행노인사고 다발지역; 세분류 : 17년 보행노인사고 다발지역; 시도 : :: 전체 ::,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 양천구2,서울특별시 양천구 신월동(으뜸공원 부근),4,4,0,4,0,0
서울특별시 양천구3,서울특별시 양천구 신월동(양천경찰서 부근),3,4,0,2,2,0
서울특별시 양천구4,서울특별시 양천구 신정동(홍익병원 부근),3,3,0,1,1,1
서울특별시 강서구1,서울특별시 강서구 방화동(신월초교입구교차로 부근),4,4,0,4,0,0
서울특별시 강서구2,서울특별시 강서구 화곡동(KEB하나은행공항로지점 부근),4,4,0,4,0,0
서울특별시 강서구3,서울특별시 강서구 염창동(염창역 부근),4,4,0,4,0,0
서울특별시 강서구4,서울특별시 강서구 공항동(송정역1번출구 부근),3,4,0,2,2,0
서울특별시 강서구5,서울특별시 강서구 화곡동(21세기국민약국 부근),3,3,0,1,1,1
서울특별시 구로구1,서울특별시 구로구 구로동(신구로자이주상복합 부근),4,4,1,2,1,0
서울특별시 구로구2,서울특별시 구로구 구로동(킴스안경클럽 부근),4,4,1,1,2,0
서울특별시 구로구3,서울특별시 구로구 개봉동(GS25개봉당곡점 부근),4,4,0,4,0,0
서울특별시 구로구4,서울특별시 구로구 개봉동(경인중 부근),3,3,1,2,0,0
서울특별시 구로구5,서울특별시 구로구 가리봉동(블루핸즈공단서비스센타 부근),3,3,0,3,0,0
서울특별시 구로구6,서울특별시 구로구 오류동(오류동역앞교차로 부근),3,3,0,3,0,0
서울특별시 구로구7,서울특별시 구로구 개봉동(개봉1동사거리 부근),2,2,1,1,0,0
서울특별시 금천구1,서울특별시 금천구 시흥동(에벤에셀프라자아파트 부근),6,6,0,3,2,1
서울특별시 금천구2,서울특별시 금천구 시흥동(시흥사거리 부근),4,4,0,2,2,0
서울특별시 금천구3,서울특별시 금천구 시흥동(세븐일레븐시흥초교점 부근),4,4,0,2,2,0
서울특별시 영등포구1,서울특별시 영등포구 영등포동3가(영등포시장앞 부근),8,9,1,7,1,0
서울특별시 영등포구2,서울특별시 영등포구 신길동(우신초교앞 부근),4,4,1,2,1,0
서울특별시 영등포구3,서울특별시 영등포구 당산동1가(영등포유통상가교차로 부근),3,5,0,2,3,0
서울특별시 영등포구4,서울특별시 영등포구 대림동(살레시오청소년센터 부근),3,3,0,2,1,0
서울특별시 영등포구5,서울특별시 영등포구 신길동(신길삼거리 부근),3,4,0,2,0,2
서울특별시 영등포구6,서울특별시 영등포구 문래동3가(모드니주유소 부근),2,2,1,1,0,0
서울특별시 동작구1,서울특별시 동작구 상도동(상도3동주민센터 부근),8,8,0,3,5,0
서울특별시 동작구2,서울특별시 동작구 대방동(신대방삼거리역교차로 부근),6,6,0,2,3,1
서울특별시 동작구3,서울특별시 동작구 흑석동(이마트에브리데이흑석동점 부근),4,4,1,3,0,0
서울특별시 동작구4,서울특별시 동작구 노량진동(이마트24동작삼익점 부근),4,4,0,2,2,0
서울특별시 동작구5,서울특별시 동작구 대방동(롯데하이마트대방점 부근),3,5,0,2,3,0
서울특별시 동작구6,서울특별시 동작구 사당동(이수역사거리 부근),3,3,0,1,2,0
서울특별시 동작구7,서울특별시 동작구 사당동(동작대로1길 부근),3,3,0,0,2,1
서울특별시 동작구8,서울특별시 동작구 사당동(밝은서울정신건강의학과의원 부근),2,2,1,0,1,0
서울특별시 관악구1,서울특별시 관악구 신림동(신림교 부근),7,7,0,3,1,3
서울특별시 관악구2,서울특별시 관악구 신림동(난곡새마을금고본점 부근),5,5,0,3,2,0
서울특별시 관악구3,서울특별시 관악구 신림동(미가할매집 부근),4,4,1,3,0,0
서울특별시 관악구4,서울특별시 관악구 봉천동(봉천역 부근),4,4,0,3,1,0
서울특별시 관악구5,서울특별시 관악구 봉천동(서울대입구역 부근),4,4,0,0,4,0
서울특별시 관악구6,서울특별시 관악구 신림동(신림현대아파트교차로 부근),3,4,0,3,1,0
서울특별시 관악구7,서울특별시 관악구 신림동(금천경찰서 부근),2,2,1,1,0,0
서울특별시 서초구1,서울특별시 서초구 잠원동(신사역5번출구 부근),5,6,1,3,0,2
서울특별시 서초구2,서울특별시 서초구 방배동(방배역 부근),3,3,0,1,1,1
서울특별시 강남구1,서울특별시 강남구 도곡동(언주초교 부근),3,4,0,3,0,1
서울특별시 송파구1,서울특별시 송파구 삼전동(시온정비센터 부근),5,5,0,5,0,0
서울특별시 송파구2,서울특별시 송파구 마천동(착한깡통 부근),5,5,0,2,1,2
서울특별시 송파구3,서울특별시 송파구 문정동(가락시장역3호선 부근),4,4,0,3,1,0
서울특별시 송파구4,서울특별시 송파구 석촌동(석촌역 부근),3,3,2,0,1,0
서울특별시 송파구5,서울특별시 송파구 방이동(포레스트요양병원 부근),3,3,0,2,1,0
서울특별시 송파구6,서울특별시 송파구 신천(잠실역8호선 부근),3,5,0,1,4,0
서울특별시 강동구1,서울특별시 강동구 명일동(성덕고 부근),6,6,0,5,1,0
서울특별시 강동구2,서울특별시 강동구 암사동(CU암사중앙점 부근),5,5,0,4,1,0
서울특별시 강동구3,서울특별시 강동구 명일동(샛마을근린공원 부근),4,4,0,3,1,0
서울특별시 강동구4,서울특별시 강동구 길동(천동초교입구교차로 부근),4,4,0,3,1,0
서울특별시 강동구5,서울특별시 강동구 천호동(동신중 부근),4,4,0,1,2,1
서울특별시 강동구6,서울특별시 강동구 고덕동(상일동역1번출구 부근),3,3,2,1,0,0
서울특별시 강동구7,서울특별시 강동구 성내동(CU성내제일점 부근),3,4,0,1,3,0
