사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6507824,2019036,1117013000,11170004,서울특별시 용산구4,서울특별시 용산구 이태원동(한스양복 부근),2,2,1,0,1,0,126.9889524,37.53344326,"{""type"":""Polygon"",""coordinates"":[[[126.99074901,37.53344326],[126.99071449,37.53316531],[126.99061225,37.53289804],[126.99044622,37.53265172],[126.99022279,37.53243582],[126.98995053,37.53225863],[126.98963992,37.53212697],[126.98930288,37.5320459],[126.98895238,37.53201852],[126.98860187,37.5320459],[126.98826484,37.53212697],[126.98795422,37.53225863],[126.98768197,37.53243582],[126.98745853,37.53265172],[126.98729251,37.53289804],[126.98719027,37.53316531],[126.98715575,37.53344326],[126.98719027,37.53372121],[126.98729251,37.53398848],[126.98745853,37.53423479],[126.98768197,37.53445068],[126.98795422,37.53462786],[126.98826484,37.53475952],[126.98860187,37.53484059],[126.98895238,37.53486797],[126.98930288,37.53484059],[126.98963992,37.53475952],[126.98995053,37.53462786],[126.99022279,37.53445068],[126.99044622,37.53423479],[126.99061225,37.53398848],[126.99071449,37.53372121],[126.99074901,37.53344326]]]}"
6507826,2019036,1120011500,11200001,서울특별시 성동구1,서울특별시 성동구 성수동2가(뚝도시장약국 부근),3,3,1,1,1,0,127.054355,37.53765356,"{""type"":""Polygon"",""coordinates"":[[[127.05615167,37.53765356],[127.05611714,37.53737562],[127.05601491,37.53710837],[127.05584888,37.53686206],[127.05562545,37.53664618],[127.05535319,37.536469],[127.05504258,37.53633735],[127.05470554,37.53625628],[127.05435504,37.5362289],[127.05400453,37.53625628],[127.0536675,37.53633735],[127.05335688,37.536469],[127.05308463,37.53664618],[127.05286119,37.53686206],[127.05269517,37.53710837],[127.05259293,37.53737562],[127.05255841,37.53765356],[127.05259293,37.53793149],[127.05269517,37.53819874],[127.05286119,37.53844504],[127.05308463,37.53866093],[127.05335688,37.5388381],[127.0536675,37.53896975],[127.05400453,37.53905081],[127.05435504,37.53907819],[127.05470554,37.53905081],[127.05504258,37.53896975],[127.05535319,37.5388381],[127.05562545,37.53866093],[127.05584888,37.53844504],[127.05601491,37.53819874],[127.05611714,37.53793149],[127.05615167,37.53765356]]]}"
6506283,2019036,1120011200,11200002,서울특별시 성동구2,서울특별시 성동구 금호동4가(KB국민은행금호동지점 부근),3,3,0,2,1,0,127.0233075,37.54805099,"{""type"":""Polygon"",""coordinates"":[[[127.02510409,37.54805099],[127.02506957,37.5477731],[127.02496733,37.54750588],[127.02480131,37.54725961],[127.02457787,37.54704375],[127.02430562,37.5468666],[127.023995,37.54673497],[127.02365797,37.5466539],[127.02330746,37.54662653],[127.02295696,37.5466539],[127.02261992,37.54673497],[127.02230931,37.5468666],[127.02203705,37.54704375],[127.02181362,37.54725961],[127.02164759,37.54750588],[127.02154536,37.5477731],[127.02151083,37.54805099],[127.02154536,37.54832889],[127.02164759,37.5485961],[127.02181362,37.54884237],[127.02203705,37.54905822],[127.02230931,37.54923537],[127.02261992,37.549367],[127.02295696,37.54944805],[127.02330746,37.54947542],[127.02365797,37.54944805],[127.023995,37.549367],[127.02430562,37.54923537],[127.02457787,37.54905822],[127.02480131,37.54884237],[127.02496733,37.5485961],[127.02506957,37.54832889],[127.02510409,37.54805099]]]}"
6507828,2019036,1121510300,11215001,서울특별시 광진구1,서울특별시 광진구 구의동(구의공원입구 부근),2,2,1,1,0,0,127.0949983,37.53642961,"{""type"":""Polygon"",""coordinates"":[[[127.0967949,37.53642961],[127.09676038,37.53615167],[127.09665814,37.53588441],[127.09649211,37.5356381],[127.09626868,37.53542221],[127.09599642,37.53524503],[127.09568581,37.53511337],[127.09534877,37.5350323],[127.09499827,37.53500493],[127.09464776,37.5350323],[127.09431073,37.53511337],[127.09400011,37.53524503],[127.09372786,37.53542221],[127.09350442,37.5356381],[127.0933384,37.53588441],[127.09323616,37.53615167],[127.09320164,37.53642961],[127.09323616,37.53670755],[127.0933384,37.5369748],[127.09350442,37.53722111],[127.09372786,37.53743699],[127.09400011,37.53761416],[127.09431073,37.53774582],[127.09464776,37.53782689],[127.09499827,37.53785426],[127.09534877,37.53782689],[127.09568581,37.53774582],[127.09599642,37.53761416],[127.09626868,37.53743699],[127.09649211,37.53722111],[127.09665814,37.5369748],[127.09676038,37.53670755],[127.0967949,37.53642961]]]}"
6507829,2019036,1123010200,11230001,서울특별시 동대문구1,서울특별시 동대문구 용두동(동서시장 부근),15,16,0,8,6,2,127.0409278,37.57906179,"{""type"":""Polygon"",""coordinates"":[[[127.0427244,37.57906179],[127.04268988,37.57878401],[127.04258764,37.57851691],[127.04242161,37.57827074],[127.04219818,37.57805497],[127.04192593,37.57787789],[127.04161531,37.57774631],[127.04127828,37.57766529],[127.04092777,37.57763793],[127.04057727,37.57766529],[127.04024023,37.57774631],[127.03992962,37.57787789],[127.03965736,37.57805497],[127.03943393,37.57827074],[127.0392679,37.57851691],[127.03916566,37.57878401],[127.03913114,37.57906179],[127.03916566,37.57933957],[127.0392679,37.57960667],[127.03943393,37.57985284],[127.03965736,37.5800686],[127.03992962,37.58024567],[127.04024023,37.58037725],[127.04057727,37.58045827],[127.04092777,37.58048563],[127.04127828,37.58045827],[127.04161531,37.58037725],[127.04192593,37.58024567],[127.04219818,37.5800686],[127.04242161,37.57985284],[127.04258764,37.57960667],[127.04268988,37.57933957],[127.0427244,37.57906179]]]}"
6507830,2019036,1123010700,11230002,서울특별시 동대문구2,서울특별시 동대문구 청량리동(청량리우체국 부근),13,15,1,4,8,2,127.0453332,37.58064593,"{""type"":""Polygon"",""coordinates"":[[[127.04712986,37.58064593],[127.04709534,37.58036815],[127.0469931,37.58010105],[127.04682707,37.57985489],[127.04660364,37.57963913],[127.04633139,37.57946205],[127.04602077,37.57933048],[127.04568374,37.57924945],[127.04533323,37.57922209],[127.04498273,37.57924945],[127.04464569,37.57933048],[127.04433508,37.57946205],[127.04406282,37.57963913],[127.04383939,37.57985489],[127.04367336,37.58010105],[127.04357112,37.58036815],[127.0435366,37.58064593],[127.04357112,37.5809237],[127.04367336,37.5811908],[127.04383939,37.58143696],[127.04406282,37.58165272],[127.04433508,37.58182978],[127.04464569,37.58196136],[127.04498273,37.58204238],[127.04533323,37.58206974],[127.04568374,37.58204238],[127.04602077,37.58196136],[127.04633139,37.58182978],[127.04660364,37.58165272],[127.04682707,37.58143696],[127.0469931,37.5811908],[127.04709534,37.5809237],[127.04712986,37.58064593]]]}"
6507834,2019036,1123010900,11230003,서울특별시 동대문구3,서울특별시 동대문구 휘경동(회기역앞 부근),4,4,1,2,1,0,127.0559657,37.59047037,"{""type"":""Polygon"",""coordinates"":[[[127.0577623,37.59047037],[127.05772778,37.59019263],[127.05762554,37.58992557],[127.05745951,37.58967944],[127.05723608,37.5894637],[127.05696382,37.58928665],[127.05665321,37.58915509],[127.05631617,37.58907408],[127.05596567,37.58904672],[127.05561516,37.58907408],[127.05527813,37.58915509],[127.05496751,37.58928665],[127.05469526,37.5894637],[127.05447182,37.58967944],[127.0543058,37.58992557],[127.05420356,37.59019263],[127.05416904,37.59047037],[127.05420356,37.59074811],[127.0543058,37.59101517],[127.05447182,37.59126129],[127.05469526,37.59147702],[127.05496751,37.59165407],[127.05527813,37.59178563],[127.05561516,37.59186664],[127.05596567,37.59189399],[127.05631617,37.59186664],[127.05665321,37.59178563],[127.05696382,37.59165407],[127.05723608,37.59147702],[127.05745951,37.59126129],[127.05762554,37.59101517],[127.05772778,37.59074811],[127.0577623,37.59047037]]]}"
6507833,2019036,1123010500,11230004,서울특별시 동대문구4,서울특별시 동대문구 답십리동(한화꿈에그린아파트입구 부근),4,4,0,4,0,0,127.0542924,37.56672548,"{""type"":""Polygon"",""coordinates"":[[[127.05608905,37.56672548],[127.05605453,37.56644765],[127.05595229,37.5661805],[127.05578626,37.56593429],[127.05556283,37.56571849],[127.05529057,37.56554138],[127.05497996,37.56540978],[127.05464293,37.56532874],[127.05429242,37.56530138],[127.05394191,37.56532874],[127.05360488,37.56540978],[127.05329427,37.56554138],[127.05302201,37.56571849],[127.05279858,37.56593429],[127.05263255,37.5661805],[127.05253031,37.56644765],[127.05249579,37.56672548],[127.05253031,37.5670033],[127.05263255,37.56727045],[127.05279858,37.56751665],[127.05302201,37.56773245],[127.05329427,37.56790955],[127.05360488,37.56804115],[127.05394191,37.56812219],[127.05429242,37.56814955],[127.05464293,37.56812219],[127.05497996,37.56804115],[127.05529057,37.56790955],[127.05556283,37.56773245],[127.05578626,37.56751665],[127.05595229,37.56727045],[127.05605453,37.5670033],[127.05608905,37.56672548]]]}"
6506625,2019036,1123011000,11230005,서울특별시 동대문구5,서울특별시 동대문구 이문동(신이문역1번출구 부근),4,4,0,3,1,0,127.0674241,37.60285159,"{""type"":""Polygon"",""coordinates"":[[[127.06922077,37.60285159],[127.06918625,37.60257389],[127.06908401,37.60230687],[127.06891799,37.60206078],[127.06869455,37.60184508],[127.0684223,37.60166806],[127.06811168,37.60153653],[127.06777465,37.60145553],[127.06742414,37.60142817],[127.06707364,37.60145553],[127.0667366,37.60153653],[127.06642599,37.60166806],[127.06615373,37.60184508],[127.0659303,37.60206078],[127.06576427,37.60230687],[127.06566203,37.60257389],[127.06562751,37.60285159],[127.06566203,37.60312928],[127.06576427,37.60339629],[127.0659303,37.60364238],[127.06615373,37.60385807],[127.06642599,37.60403509],[127.0667366,37.60416662],[127.06707364,37.60424762],[127.06742414,37.60427497],[127.06777465,37.60424762],[127.06811168,37.60416662],[127.0684223,37.60403509],[127.06869455,37.60385807],[127.06891799,37.60364238],[127.06908401,37.60339629],[127.06918625,37.60312928],[127.06922077,37.60285159]]]}"
6507831,2019036,1123010600,11230006,서울특별시 동대문구6,서울특별시 동대문구 장안동(새서울병원 부근),4,4,0,2,2,0,127.0720513,37.57364182,"{""type"":""Polygon"",""coordinates"":[[[127.07384788,37.57364182],[127.07381336,37.57336402],[127.07371112,37.57309689],[127.0735451,37.57285071],[127.07332166,37.57263492],[127.07304941,37.57245783],[127.07273879,37.57232624],[127.07240176,37.57224521],[127.07205125,37.57221785],[127.07170075,37.57224521],[127.07136371,37.57232624],[127.0710531,37.57245783],[127.07078084,37.57263492],[127.07055741,37.57285071],[127.07039138,37.57309689],[127.07028914,37.57336402],[127.07025462,37.57364182],[127.07028914,37.57391962],[127.07039138,37.57418674],[127.07055741,37.57443292],[127.07078084,37.5746487],[127.0710531,37.57482579],[127.07136371,37.57495737],[127.07170075,37.5750384],[127.07205125,37.57506576],[127.07240176,37.5750384],[127.07273879,37.57495737],[127.07304941,37.57482579],[127.07332166,37.5746487],[127.0735451,37.57443292],[127.07371112,37.57418674],[127.07381336,37.57391962],[127.07384788,37.57364182]]]}"
