emd_cd,emd_eng_nm,emd_kor_nm,NUMPOINTS
11560123,Mullae-dong 5(o)-ga,문래동,0
11110120,Sinmunno 1(il)-ga,신문로동,0
11140119,Bongnae-dong 1(il)-ga,봉래동,0
11560105,Yeongdeungpo-dong 4(sa)-ga,영등포동,1
11560116,Dangsan-dong 6(yuk)-ga,당산동,1
11110126,Jongno 1(il).2(i).3(sam). 4(sa)-ga,종로동,0
11110170,Myeongnyun 1(il)-ga,명륜동,0
11140114,Taepyeongno 2(i)-ga,태평로동,0
11140105,Euljiro 2(i)-ga,을지로동,0
11140115,Namdaemunno 2(i)-ga,남대문로동,0
11140121,Hoehyeon-dong 1(il)-ga,회현동,0
11140133,Chungmuro 5(o)-ga,충무로동,0
11140126,Myeong-dong 1(il)-ga,명동,0
11140128,Namsan-dong 1(il)-ga,남산동,0
11140161,Jeo-dong 2(i)-ga,저동,0
11140134,Inhyeon-dong 2(i)-ga,인현동,0
11140137,Dㅝㄴ,필동,0
11140143,Jangchung-dong 1(il)-ga,장충동,0
11140145,Gwanghui-dong 1(il)-ga,광희동,0
11140169,Uijuro 1(il)-ga,의주로동,0
11410101,Chungjeongno 2(i)-ga,충정로동,0
11140173,Malli-dong 1(il)-ga,만리동,0
11170103,Yongsan-dong 4(sa)-ga,용산동,0
11170109,Cheongpa-dong 1(il)-ga,청파동,0
11170117,Wonhyoro 3(sam)-ga,원효로동,1
11590102,Sangdo-dong,상도동,4
11560134,Yangpyeong-dong,양평동,0
11290129,Bomun-dong 7(chil)-ga,보문동,0
11290121,Anam-dong 1(il)-ga,안암동,1
11290118,Dongseon-dong 3(sam)-ga,동선동,0
11290111,Samseon-dong 1(il)-ga,삼선동,0
11290107,Dongsomun-dong 4(sa)-ga,동소문동,0
11170124,Hangangno 1(il)-ga,한강로동,0
11200110,Geumho-dong2(i).3(sam)-ga,금호동,0
11200114,Seongsu-dong1(il)-ga,성수동,1
11290101,Seongbuk-dong,성북동,0
