No,유치원명,최종주소,X,Y
52,하도초등학교병설유치원,제주특별자치도 제주시 구좌읍 일주동로 3378,126.8787775,33.51709882
53,한동초등학교병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2831,126.8287589,33.53856856
54,한림초등학교병설유치원,제주특별자치도 제주시 한림읍 한림로4길 16,126.2610903,33.41119642
55,한천초등학교병설유치원,제주특별자치도 제주시 남성로11길 22,126.5131732,33.50712318
56,함덕초등학교병설유치원,제주특별자치도 제주시 조천읍 일주동로 1231,126.672304,33.53843007
57,까리따스유치원,제주특별자치도 제주시 인다10길 19,126.5479535,33.47482576
58,마야유치원,제주특별자치도 제주시 거로남6길 48,126.5648074,33.50775828
59,새순유치원,제주특별자치도 제주시 수덕로 66,126.4704629,33.48519188
60,연동유치원,제주특별자치도 제주시 제원3길 3,126.4889032,33.48727124
61,원명유치원,제주특별자치도 제주시 원두길 34,126.5542294,33.51581663
62,제주YMCA유치원,제주특별자치도 제주시 관덕로2길 1,126.5202893,33.51253354
63,제주관광대학교부속유치원,제주특별자치도 제주시 애월읍 평화로 2755-1,126.4358452,33.4511659
64,제주국제대학교부속유치원,제주특별자치도 제주시 황새왓길 20,126.5511469,33.49798114
65,제주엔젤유치원,제주특별자치도 제주시 월평9길 2-8,126.5811164,33.47141782
66,제주영락유치원,제주특별자치도 제주시 동광로23길 15,126.5430287,33.5110062
67,제주전원유치원,제주특별자치도 제주시 구남동8길 1-6,126.5393119,33.48747004
68,제주중앙유치원,제주특별자치도 제주시 고마로7길 11,126.5398924,33.51181495
69,제주충신유치원,제주특별자치도 제주시 연화로2길 17-6,126.4893132,33.4779686
70,제주한라대부설유치원,제주특별자치도 제주시 진군남2길 18,126.4774329,33.47485343
71,한라유치원,제주특별자치도 제주시 국기로2길 18,126.4917336,33.4798539
72,한림성모유치원,제주특별자치도 제주시 한림읍 한수풀로 28-4,126.2663061,33.41733117
73,해봉유치원,제주특별자치도 제주시 삼동2길 21-7 ,126.4942568,33.47705134
74,가파초등학교병설유치원 ,제주특별자치도 서귀포시 가파로67번길 45,126.2702,33.1723
75,강정초등학교병설유치원 ,제주특별자치도 서귀포시 말질로 188,126.4797,33.2358
76,남원유치원 ,제주특별자치도 서귀포시 남한로 27,126.7171,33.2827
77,대정서초등학교병설유치원 ,제주특별자치도 서귀포시 동일하모로 43,126.2393,33.2329
78,대정초등학교병설유치원 ,제주특별자치도 서귀포시 상모대서로 15,126.2558,33.2265
79,동남초등학교병설유치원 ,제주특별자치도 서귀포시 고성오조로 55,126.9142,33.4498
