"Objt_id","Fclty_ty","Fclty_cd","Fclty_id","Fclty_nm","Adres","Rn_adres","Telno","X","Y","Ctprvn_cd","Sgg_cd","Emd_cd"
2195683.00000000000,"방범등",5080200000000.00000000000,1104936,"","","","",126.42755799800,33.49079535690,"제주특별자치도","제주시","외도일동"
2195684.00000000000,"방범등",5080200000000.00000000000,1104937,"","","","",126.43375904300,33.49151417540,"제주특별자치도","제주시","외도일동"
2195685.00000000000,"방범등",5080200000000.00000000000,1104938,"","","","",126.42985045600,33.48591583580,"제주특별자치도","제주시","외도일동"
2195686.00000000000,"방범등",5080200000000.00000000000,1104939,"","","","",126.42808103800,33.48776837180,"제주특별자치도","제주시","외도일동"
2195687.00000000000,"방범등",5080200000000.00000000000,1104940,"","","","",126.42808119900,33.48849684710,"제주특별자치도","제주시","외도일동"
2195688.00000000000,"방범등",5080200000000.00000000000,1104941,"","","","",126.43148806200,33.48627947740,"제주특별자치도","제주시","외도일동"
2195689.00000000000,"방범등",5080200000000.00000000000,1104942,"","","","",126.42884343600,33.48738086910,"제주특별자치도","제주시","외도일동"
2195690.00000000000,"방범등",5080200000000.00000000000,1104943,"","","","",126.42734312500,33.48502118700,"제주특별자치도","제주시","외도일동"
2195691.00000000000,"방범등",5080200000000.00000000000,1104944,"","","","",126.42809372500,33.48647484000,"제주특별자치도","제주시","외도일동"
2195692.00000000000,"방범등",5080200000000.00000000000,1104945,"","","","",126.42801791600,33.49080649630,"제주특별자치도","제주시","외도일동"
2195693.00000000000,"방범등",5080200000000.00000000000,1104946,"","","","",126.43149088900,33.48652192700,"제주특별자치도","제주시","외도일동"
2195694.00000000000,"방범등",5080200000000.00000000000,1104947,"","","","",126.43127171900,33.48694890620,"제주특별자치도","제주시","외도일동"
2195695.00000000000,"방범등",5080200000000.00000000000,1104948,"","","","",126.43028347400,33.48659860780,"제주특별자치도","제주시","외도일동"
2195696.00000000000,"방범등",5080200000000.00000000000,1104949,"","","","",126.42736387000,33.48674113550,"제주특별자치도","제주시","외도일동"
