No,학교명,최종 주소,X,Y
25,삼양초등학교,제주특별자치도 제주시 지석14길 7,126.5862827,33.52031928
26,삼화초등학교,제주특별자치도 제주시 화삼북로2길 27,126.5769768,33.51492321
27,세화초등학교,제주특별자치도 제주시 구좌읍 구좌로 65,126.8587269,33.52235142
28,송당초등학교,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,126.781183,33.47089121
29,수원초등학교,제주특별자치도 제주시 한림읍 한림로 822,126.2701726,33.42546826
30,신광초등학교,제주특별자치도 제주시 성신로 25,126.4844333,33.49166135
31,신제주초등학교,제주특별자치도 제주시 비월길 29,126.4978164,33.48285406
32,신창초등학교,제주특별자치도 제주시 한경면 두신로 72,126.1842937,33.3489736
33,신촌초등학교,제주특별자치도 제주시 조천읍 신북로 51,126.6193003,33.53392261
34,아라초등학교,제주특별자치도 제주시 중앙로 518,126.5437561,33.47719047
35,애월초등학교,제주특별자치도 제주시 애월읍 애월로 139-10,126.321665,33.46524181
36,어도초등학교,제주특별자치도 제주시 애월읍 봉성로 76,126.313225,33.41986384
37,영평초등학교,제주특별자치도 제주시 아봉로 225,126.5670095,33.47852763
38,오라초등학교,제주특별자치도 제주시 연사길 48,126.5135068,33.4899133
39,외도초등학교,제주특별자치도 제주시 일주서로 7368,126.4344316,33.49307394
40,우도초등학교,제주특별자치도 제주시 우도면 우도로 156-11,126.9553026,33.5055213
41,월랑초등학교,제주특별자치도 제주시 남녕로 63,126.4785101,33.49249293
42,이도초등학교,제주특별자치도 제주시 구남동2길 58,126.532089,33.48801983
43,인화초등학교,제주특별자치도 제주시 신산로15길 35,126.5378925,33.50742578
44,일도초등학교,제주특별자치도 제주시 삼성로9길 27,126.5293678,33.5095663
45,장전초등학교,제주특별자치도 제주시 애월읍 장전로 122,126.3904901,33.44966094
46,재릉초등학교,제주특별자치도 제주시 한림읍 한림로 288-18,126.2382299,33.38850017
47,저청초등학교,제주특별자치도 제주시 한경면 중산간서로 3591,126.2516178,33.32637258
48,제주남초등학교,제주특별자치도 제주시 남성로 149,126.5211228,33.50973286
49,제주동초등학교,제주특별자치도 제주시 동문로 65,126.5335091,33.51398178
50,제주북초등학교,제주특별자치도 제주시 중앙로8길 18,126.5223954,33.51509319
51,제주서초등학교,제주특별자치도 제주시 성화로6길 51,126.5104557,33.51187275
52,제주중앙초등학교,제주특별자치도 제주시 서사로18길 40,126.5157275,33.50262534
53,조천초등학교,제주특별자치도 제주시 조천읍 신북로 195,126.6338276,33.53540027
54,종달초등학교,제주특별자치도 제주시 구좌읍 종달로7길 5,126.897138,33.4924122
55,추자초등학교,제주특별자치도 제주시 추자면 대서3길 10,126.2955692,33.96384376
56,평대초등학교,제주특별자치도 제주시 구좌읍 일주동로 2979,126.840447,33.52923497
57,하귀일초등학교,제주특별자치도 제주시 애월읍 하귀9길 42,126.4152987,33.48363534
58,하귀초등학교,제주특별자치도 제주시 애월읍 하귀로 44,126.401933,33.47935187
59,하도초등학교,제주특별자치도 제주시 구좌읍 일주동로 3378,126.8787775,33.51709882
60,한동초등학교,제주특별자치도 제주시 구좌읍 일주동로 2831,126.8287589,33.53856856
61,한라초등학교,제주특별자치도 제주시 연화로 42,126.4864829,33.47810109
